Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C16, C18, C2, C23, C6",0603,7,100nF,
"C11, C12",0603,2,2.2nF,
"C13, C14",0805,2,2.2uF,
C15,CP_Radial_D4.0mm_P2.00mm,1,100uF,
"C17, C19, C5, C7",0805,4,10uF,
C20,CP_Radial_D4.0mm_P2.00mm,1,4u7,
"C21, C22, C8, C9",0805,4,100nF,
"C3, C4",0805,2,2u2,
D1,D_MELF,1,1N4148,
IC2,SOP65P640X120-20N,1,PCM5102AQPWRQ1,
IC3,SOT95P280X100-5N,1,3v3 Digital Reg,
IC4,SOT95P280X100-5N,1,3v3 Analogue Reg,
J1,5033981892,1,503398-1892,
J2,Midi_Socket,1,Midi in,
J3,JST_EH_S4B-EH_1x04_P2.50mm_Horizontal,1,Output,
J4,JST_EH_S4B-EH_1x04_P2.50mm_Horizontal,1,Input,
J5,Jack_3.5mm_CUI_SJ1-3533NG_Horizontal,1,AudioJack3,
"R1, R2, R3",0603,3,22R,
"R10, R6, R7, R8, R9",0603,5,10k,
R11,0603,1,220R,
"R12, R4, R5",0603,3,470R,
R28,0603,1,120R,
U1,ESP32_S3,1,ESP32-S3,
U2,DIP-8_W7.62mm,1,MCP2562-H-P,
U3,DIP-6_W7.62mm_SMDSocket_SmallPads,1,H11L1,
